title,budget,year,revenue,ratio,rating,production_company,abstract,url
Flight of the Phoenix,45000000,2004-12-17,21009180.0,2.14192081747122,15.434731,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Davis Entertainment', 'id': 1302}, {'name': 'Aldrich Group', 'id': 49478}, {'name': 'Optional Pictures', 'id': 54004}]",,
The Wild,80000000,2006-03-06,37384046.0,2.139950287884837,7.904333,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Contrafilm', 'id': 1836}, {'name': 'C.O.R.E. Feature Animation', 'id': 58323}, {'name': 'Hoytyboy Pictures', 'id': 58324}, {'name': 'Nigel Productions', 'id': 58325}]",| music = Alan Silvestri,https://en.wikipedia.org/wiki/The_Wild
FearDotCom,40000000,2002-08-09,18902015.0,2.116176502875487,5.160215,"[{'name': 'Milagro Films', 'id': 1070}, {'name': 'Franchise Pictures', 'id': 1403}, {'name': 'DoRo Fiction Film', 'id': 2193}, {'name': 'Signature Pictures', 'id': 2982}, {'name': 'ApolloMedia Distribution', 'id': 16850}, {'name': 'Carousel Picture Company, The', 'id': 19944}, {'name': 'Luxembourg Film Fund', 'id': 46195}, {'name': 'Filmyard Underwaterdeco', 'id': 48618}]",,
R.I.P.D.,130000000,2013-07-18,61648500.0,2.108729328369709,9.369679,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Original Film', 'id': 333}, {'name': 'Dark Horse Entertainment', 'id': 552}]",| screenplay     =,https://en.wikipedia.org/wiki/R.I.P.D.
Santa Claus: The Movie,50000000,1985-10-29,23717291.0,2.1081665692763982,11.690532000000001,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Calash Corporation', 'id': 12958}]",| music          = Henry Mancini ()Leslie Bricusse (),https://en.wikipedia.org/wiki/Santa_Claus:_The_Movie
Intersection,45000000,1994-01-21,21355893.0,2.107146725262203,8.295437,"[{'name': 'Paramount Pictures', 'id': 4}]",thumb|right|The [[circle (black) intersects the line (purple) in two points (red). The disk (yellow) intersects the line in the line segment between the two red points.,https://en.wikipedia.org/wiki/Intersection
I Spy,70000000,2002-10-31,33561137.0,2.0857457838809217,10.404277,"[{'name': 'Columbia Pictures Corporation', 'id': 441}]",I Spy or iSpy may refer to:,https://en.wikipedia.org/wiki/I_Spy
Femme Fatale,35000000,2002-11-06,16838910.0,2.0785193340899144,6.426438,"[{'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'Quinta Communications', 'id': 6370}]",A femme fatale is an archetypal character of literature and art.,https://en.wikipedia.org/wiki/Femme_Fatale
Amelia,40000000,2009-10-22,19258519.0,2.077002909725301,5.308718,"[{'name': 'Fox Searchlight Pictures', 'id': 43}, {'name': 'AE Electra Productions', 'id': 24884}, {'name': 'Avalon Pictures', 'id': 24885}]",Amelia may refer to:,https://en.wikipedia.org/wiki/Amelia
Duplex,40000000,2003-09-26,19322135.0,2.070164606550984,12.160363,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Flower Films', 'id': 2214}]","Duplex (from Latin duplex, ""double, two-fold""), may refer to:",https://en.wikipedia.org/wiki/Duplex
Battlefield Earth,44000000,2000-05-10,21400000.0,2.05607476635514,5.2769260000000004,"[{'name': 'Franchise Pictures', 'id': 1403}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'JTP Films', 'id': 7406}, {'name': 'Morgan Creek Productions', 'id': 10210}, {'name': 'Battlefield Productions', 'id': 19718}]",Battlefield Earth may refer to:,https://en.wikipedia.org/wiki/Battlefield_Earth
Titan A.E.,75000000,2000-06-16,36754634.0,2.0405590217549165,7.515631,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'David Kirschner Productions', 'id': 11050}, {'name': 'Fox Animation Studios', 'id': 11231}]",| music       = Graeme Revell,https://en.wikipedia.org/wiki/Titan_A.E.
The Tale of the Princess Kaguya,49300000,2013-11-23,24186232.0,2.0383497520407476,7.566053,"[{'name': 'Studio Ghibli', 'id': 10342}, {'name': 'Hakuhodo DY Media Partners', 'id': 11846}, {'name': 'KDDI Corporation', 'id': 11848}, {'name': 'Mitsubishi Shoji', 'id': 20191}, {'name': 'Gkids', 'id': 32853}]",| director       = Isao Takahata,https://en.wikipedia.org/wiki/The_Tale_of_the_Princess_Kaguya
Color of Night,40000000,1994-08-19,19726050.0,2.0277754542850697,14.228963,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]",| music          = Dominic Frontiere,https://en.wikipedia.org/wiki/Color_of_Night
The Legend of Bagger Vance,80000000,2000-11-02,39459427.0,2.0273989280178855,9.034884,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Wildwood Enterprises', 'id': 316}, {'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'Allied Filmmakers', 'id': 1755}]",| screenplay     = Jeremy Leven,https://en.wikipedia.org/wiki/The_Legend_of_Bagger_Vance
Thunderbirds,57000000,2004-07-23,28283637.0,2.015299517526689,14.363420999999999,"[{'name': 'Studio Canal', 'id': 5870}, {'name': 'Working Title Films', 'id': 10163}, {'name': 'Tracy Films', 'id': 12362}]",,
Sabotage,35000000,2014-03-28,17508518.0,1.9990269878924076,6.966505000000001,"[{'name': 'Open Road Films', 'id': 10427}, {'name': 'QED International', 'id': 11029}, {'name': 'Albert S. Ruddy Productions', 'id': 16311}, {'name': 'Crave Films', 'id': 16312}, {'name': 'Roth Films', 'id': 16314}]","Sabotage is a deliberate action aimed at weakening a polity, effort, or organization through subversion, obstruction, disruption, or destruction. One who engages in sabotage is a saboteur.",https://en.wikipedia.org/wiki/Sabotage
Free State of Jones,50000000,2016-06-24,25035950.0,1.9971281297494203,10.223582,"[{'name': 'Larger Than Life Productions', 'id': 1163}, {'name': 'Vendian Entertainment', 'id': 50481}, {'name': 'Route One Films', 'id': 50482}]",,
Twisted,50000000,2004-02-27,25195000.0,1.9845207382417147,5.376246,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Kopelson Entertainment', 'id': 824}, {'name': 'Harlequin Pictures', 'id': 53282}, {'name': 'Intertainment AG', 'id': 53283}, {'name': 'Blackout Productions Inc.', 'id': 53284}]",Twisted may refer to:,https://en.wikipedia.org/wiki/Twisted
Mortdecai,60000000,2015-01-21,30418560.0,1.9724799596036104,10.241861,"[{'name': 'Lionsgate', 'id': 1632}, {'name': 'Mad Chance', 'id': 1757}, {'name': 'OddLot Entertainment', 'id': 36209}, {'name': 'Huayi Brothers Media', 'id': 39649}]","Mortdecai is a series of comic thriller novels written by English author Kyril Bonfiglioli. The book series deals with the picaresque adventures of a dissolute aristocratic art dealer named Charlie Mortdecai, accompanied on his adventures by his manservant Jock.",https://en.wikipedia.org/wiki/Mortdecai
Winter's Tale,60000000,2014-02-13,30800231.0,1.9480373377719147,7.363527,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Weed Road Pictures', 'id': 433}, {'name': 'Warner Bros.', 'id': 6194}]",,
Monster Trucks,125000000,2016-12-21,64493915.0,1.9381673449347896,14.801195000000002,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Nickelodeon Movies', 'id': 2348}, {'name': 'Disruption Entertainment', 'id': 10256}, {'name': 'Paramount Animation', 'id': 24955}]",,
Silence,46000000,2016-12-22,23737523.0,1.937860154995953,14.169379999999999,"[{'name': 'CatchPlay', 'id': 8870}, {'name': 'Waypoint Entertainment', 'id': 22842}, {'name': 'Cappa Defina Productions', 'id': 23033}, {'name': 'Sikelia Productions', 'id': 23243}, {'name': 'Fábrica de Cine', 'id': 54537}, {'name': 'Emmett Furla Oasis Films (EFO Films)', 'id': 73685}, {'name': 'SharpSword Films', 'id': 86060}]","Silence is the absence of ambient audible sound, the emission of sounds of such low intensity that they do not draw attention to themselves, or the state of having ceased to produce sounds; this latter sense can be extended to apply to the cessation or absence of any form of communication, whether through speech or other medium.",https://en.wikipedia.org/wiki/Silence
The Majestic,72000000,2001-12-21,37317558.0,1.9293866978112555,8.063684,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'NPV Entertainment', 'id': 172}, {'name': 'Darkwoods Productions', 'id': 3982}]",,
Walk Hard: The Dewey Cox Story,35000000,2007-12-21,18317151.0,1.9107775002782912,7.219935,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Apatow Productions', 'id': 10105}]",,
Your Highness,49900000,2011-04-08,26121638.0,1.910293680664283,5.67375,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Stuber Productions', 'id': 4403}]",| starring =,https://en.wikipedia.org/wiki/Your_Highness
Blood Work,50000000,2002-08-04,26199517.0,1.9084321287297015,5.852263,"[{'name': 'Malpaso Productions', 'id': 171}, {'name': 'Warner Bros.', 'id': 6194}]",Blood Work may refer to:,https://en.wikipedia.org/wiki/Blood_Work
The Soloist,60000000,2009-04-24,31720158.0,1.8915416499501674,11.328316000000001,"[{'name': 'DreamWorks', 'id': 7}, {'name': 'Universal Pictures', 'id': 33}, {'name': 'StudioCanal', 'id': 694}, {'name': 'Participant Media', 'id': 6735}, {'name': 'Krasnoff Foster Productions', 'id': 8299}, {'name': 'Working Title Films', 'id': 10163}]",| starring       =,https://en.wikipedia.org/wiki/The_Soloist
Geronimo: An American Legend,35000000,1993-12-10,18635620.0,1.8781237222051104,4.653462,"[{'name': 'Columbia Pictures', 'id': 5}]",| narrator       =,https://en.wikipedia.org/wiki/Geronimo:_An_American_Legend
The Rum Diary,45000000,2011-10-13,24000000.0,1.875,10.110503999999999,"[{'name': 'FilmEngine', 'id': 816}, {'name': 'Infinitum Nihil', 'id': 2691}, {'name': 'GK Films', 'id': 3281}]",,
Conan the Barbarian,90000000,2011-08-17,48795021.0,1.8444504819456886,10.949076,"[{'name': 'Dark Horse Entertainment', 'id': 552}, {'name': 'Nu Image Films', 'id': 925}, {'name': 'Paradox Entertainment', 'id': 6819}, {'name': 'Nimar Studios', 'id': 7636}, {'name': 'Millennium Films', 'id': 10254}, {'name': 'Cinema Vehicle Services', 'id': 25673}]",| voice              =,https://en.wikipedia.org/wiki/Conan_the_Barbarian
Species II,35000000,1998-04-10,19165560.0,1.8261923992828804,13.495247,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",| starring       =,https://en.wikipedia.org/wiki/Species_II
Paradise,34000000,1991-09-18,18634643.0,1.824558699621989,7.1767259999999995,"[{'name': 'Touchwood Pacific Partners 1', 'id': 8830}, {'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Interscope Communications', 'id': 10201}, {'name': 'Grand Highway Productions', 'id': 11085}]",thumb|200px|right|Paradise by [[Jan Bruegel]],https://en.wikipedia.org/wiki/Paradise
Timeline,80000000,2003-11-26,43935763.0,1.8208401206097182,6.982761999999999,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': ""Donners' Company"", 'id': 431}, {'name': 'Mutual Film Company', 'id': 762}, {'name': 'Cobalt Media Group', 'id': 18619}, {'name': 'Artists Production Group (APG)', 'id': 18620}]","A timeline is a display of a list of events in chronological order. It is typically a graphic design showing a long bar labelled with dates paralleling it, and usually contemporaneous events; a Gantt chart is a form of timeline used in project management.",https://en.wikipedia.org/wiki/Timeline
A Thousand Words,40000000,2012-03-07,22044277.0,1.814529911777102,5.446745,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Saturn Films', 'id': 831}, {'name': 'Varsity Pictures', 'id': 6024}]",A Thousand Words may refer to:,https://en.wikipedia.org/wiki/A_Thousand_Words
